Name,recall ± std,precision ± std,IoU ± std,chunk_size,chunk_overlap,n_results,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,Created
ChunkSize_350_Overlap_50_RetrieveResults_10,95.51 ± 19.84,1.14 ± 0.77,1.14 ± 0.77,350,50,10,95.51,19.84,1.14,0.77,1.14,0.77,2025-03-31T13:39:25.000Z
ChunkSize_400_Overlap_50_RetrieveResults_1,56.25 ± 46.73,5.77 ± 6.33,5.68 ± 6.31,400,50,1,56.25,46.73,5.77,6.33,5.68,6.31,2025-03-31T13:39:46.000Z
ChunkSize_400_Overlap_50_RetrieveResults_2,71.37 ± 42.64,3.67 ± 3.5,3.66 ± 3.49,400,50,2,71.37,42.64,3.67,3.5,3.66,3.49,2025-03-31T13:40:07.000Z
ChunkSize_400_Overlap_50_RetrieveResults_3,77.95 ± 38.65,2.6 ± 2.24,2.59 ± 2.24,400,50,3,77.95,38.65,2.6,2.24,2.59,2.24,2025-03-31T13:40:28.000Z
ChunkSize_400_Overlap_50_RetrieveResults_4,81.5 ± 36.68,2.04 ± 1.71,2.04 ± 1.71,400,50,4,81.5,36.68,2.04,1.71,2.04,1.71,2025-03-31T13:40:49.000Z
ChunkSize_400_Overlap_50_RetrieveResults_5,85.45 ± 32.88,1.69 ± 1.33,1.69 ± 1.33,400,50,5,85.45,32.88,1.69,1.33,1.69,1.33,2025-03-31T13:41:10.000Z
ChunkSize_400_Overlap_50_RetrieveResults_6,88.08 ± 29.79,1.47 ± 1.09,1.47 ± 1.09,400,50,6,88.08,29.79,1.47,1.09,1.47,1.09,2025-03-31T13:41:35.000Z
ChunkSize_400_Overlap_50_RetrieveResults_7,88.08 ± 29.79,1.26 ± 0.93,1.26 ± 0.93,400,50,7,88.08,29.79,1.26,0.93,1.26,0.93,2025-03-31T13:41:56.000Z
ChunkSize_400_Overlap_50_RetrieveResults_8,90.71 ± 26.08,1.14 ± 0.81,1.14 ± 0.81,400,50,8,90.71,26.08,1.14,0.81,1.14,0.81,2025-03-31T13:42:17.000Z
ChunkSize_400_Overlap_50_RetrieveResults_9,92.95 ± 22.82,1.04 ± 0.71,1.04 ± 0.71,400,50,9,92.95,22.82,1.04,0.71,1.04,0.71,2025-03-31T13:42:38.000Z
ChunkSize_400_Overlap_50_RetrieveResults_10,93.19 ± 21.91,0.94 ± 0.63,0.94 ± 0.63,400,50,10,93.19,21.91,0.94,0.63,0.94,0.63,2025-03-31T13:42:59.000Z
ChunkSize_450_Overlap_50_RetrieveResults_1,56.46 ± 48.29,5.13 ± 6.2,5.11 ± 6.18,450,50,1,56.46,48.29,5.13,6.2,5.11,6.18,2025-03-31T13:43:20.000Z
ChunkSize_450_Overlap_50_RetrieveResults_2,72.08 ± 43.51,3.51 ± 3.41,3.51 ± 3.41,450,50,2,72.08,43.51,3.51,3.41,3.51,3.41,2025-03-31T13:43:41.000Z
ChunkSize_450_Overlap_50_RetrieveResults_3,78.29 ± 40.79,2.57 ± 2.26,2.57 ± 2.26,450,50,3,78.29,40.79,2.57,2.26,2.57,2.26,2025-03-31T13:44:02.000Z
ChunkSize_450_Overlap_50_RetrieveResults_4,80.92 ± 38.84,1.96 ± 1.67,1.96 ± 1.67,450,50,4,80.92,38.84,1.96,1.67,1.96,1.67,2025-03-31T13:44:23.000Z
ChunkSize_450_Overlap_50_RetrieveResults_5,82.23 ± 37.75,1.58 ± 1.32,1.58 ± 1.32,450,50,5,82.23,37.75,1.58,1.32,1.58,1.32,2025-03-31T13:44:44.000Z
ChunkSize_450_Overlap_50_RetrieveResults_6,83.55 ± 36.59,1.33 ± 1.09,1.33 ± 1.09,450,50,6,83.55,36.59,1.33,1.09,1.33,1.09,2025-03-31T13:45:05.000Z
ChunkSize_450_Overlap_50_RetrieveResults_7,87.5 ± 32.53,1.17 ± 0.91,1.17 ± 0.91,450,50,7,87.5,32.53,1.17,0.91,1.17,0.91,2025-03-31T13:45:26.000Z
ChunkSize_450_Overlap_50_RetrieveResults_8,88.81 ± 30.95,1.04 ± 0.79,1.04 ± 0.79,450,50,8,88.81,30.95,1.04,0.79,1.04,0.79,2025-03-31T13:45:47.000Z
ChunkSize_450_Overlap_50_RetrieveResults_9,92.73 ± 25.33,0.94 ± 0.68,0.94 ± 0.68,450,50,9,92.73,25.33,0.94,0.68,0.94,0.68,2025-03-31T13:46:08.000Z
ChunkSize_450_Overlap_50_RetrieveResults_10,94.05 ± 22.96,0.86 ± 0.61,0.86 ± 0.61,450,50,10,94.05,22.96,0.86,0.61,0.86,0.61,2025-03-31T13:46:29.000Z
ChunkSize_500_Overlap_50_RetrieveResults_1,63.53 ± 46.48,5.34 ± 5.31,5.29 ± 5.28,500,50,1,63.53,46.48,5.34,5.31,5.29,5.28,2025-03-31T13:46:50.000Z
ChunkSize_500_Overlap_50_RetrieveResults_2,72.23 ± 43.23,2.99 ± 2.61,2.98 ± 2.61,500,50,2,72.23,43.23,2.99,2.61,2.98,2.61,2025-03-31T13:47:11.000Z
ChunkSize_500_Overlap_50_RetrieveResults_3,75.95 ± 40.87,2.05 ± 1.7,2.04 ± 1.69,500,50,3,75.95,40.87,2.05,1.7,2.04,1.69,2025-03-31T13:47:32.000Z
ChunkSize_500_Overlap_50_RetrieveResults_4,79.7 ± 39.04,1.62 ± 1.38,1.62 ± 1.38,500,50,4,79.7,39.04,1.62,1.38,1.62,1.38,2025-03-31T13:47:53.000Z
ChunkSize_500_Overlap_50_RetrieveResults_5,81.25 ± 38.06,1.32 ± 1.08,1.32 ± 1.08,500,50,5,81.25,38.06,1.32,1.08,1.32,1.08,2025-03-31T13:48:14.000Z
ChunkSize_500_Overlap_50_RetrieveResults_6,85.2 ± 34.44,1.15 ± 0.88,1.15 ± 0.88,500,50,6,85.2,34.44,1.15,0.88,1.15,0.88,2025-03-31T13:48:35.000Z
ChunkSize_500_Overlap_50_RetrieveResults_7,85.2 ± 34.44,0.99 ± 0.75,0.99 ± 0.75,500,50,7,85.2,34.44,0.99,0.75,0.99,0.75,2025-03-31T13:48:56.000Z
ChunkSize_500_Overlap_50_RetrieveResults_8,86.51 ± 33.04,0.87 ± 0.65,0.87 ± 0.65,500,50,8,86.51,33.04,0.87,0.65,0.87,0.65,2025-03-31T13:49:17.000Z
ChunkSize_500_Overlap_50_RetrieveResults_9,87.8 ± 31.61,0.78 ± 0.58,0.78 ± 0.58,500,50,9,87.8,31.61,0.78,0.58,0.78,0.58,2025-03-31T13:49:39.000Z
ChunkSize_500_Overlap_50_RetrieveResults_10,87.8 ± 31.61,0.7 ± 0.52,0.7 ± 0.52,500,50,10,87.8,31.61,0.7,0.52,0.7,0.52,2025-03-31T13:50:00.000Z
ChunkSize_550_Overlap_50_RetrieveResults_1,59.2 ± 47.48,4.77 ± 5.33,4.74 ± 5.31,550,50,1,59.2,47.48,4.77,5.33,4.74,5.31,2025-03-31T13:50:21.000Z
ChunkSize_550_Overlap_50_RetrieveResults_2,69.41 ± 44.57,2.77 ± 2.78,2.77 ± 2.78,550,50,2,69.41,44.57,2.77,2.78,2.77,2.78,2025-03-31T13:50:42.000Z
ChunkSize_550_Overlap_50_RetrieveResults_3,77.0 ± 40.71,2.01 ± 1.8,2.01 ± 1.8,550,50,3,77.0,40.71,2.01,1.8,2.01,1.8,2025-03-31T13:51:03.000Z
ChunkSize_550_Overlap_50_RetrieveResults_4,79.63 ± 38.83,1.54 ± 1.33,1.54 ± 1.33,550,50,4,79.63,38.83,1.54,1.33,1.54,1.33,2025-03-31T13:51:24.000Z
ChunkSize_550_Overlap_50_RetrieveResults_5,90.05 ± 29.04,1.37 ± 1.04,1.37 ± 1.04,550,50,5,90.05,29.04,1.37,1.04,1.37,1.04,2025-03-31T13:51:46.000Z
ChunkSize_550_Overlap_50_RetrieveResults_6,90.49 ± 28.94,1.15 ± 0.86,1.15 ± 0.86,550,50,6,90.49,28.94,1.15,0.86,1.15,0.86,2025-03-31T13:52:07.000Z
ChunkSize_550_Overlap_50_RetrieveResults_7,93.12 ± 24.85,1.01 ± 0.72,1.01 ± 0.72,550,50,7,93.12,24.85,1.01,0.72,1.01,0.72,2025-03-31T13:52:28.000Z
ChunkSize_550_Overlap_50_RetrieveResults_8,93.12 ± 24.85,0.88 ± 0.63,0.88 ± 0.63,550,50,8,93.12,24.85,0.88,0.63,0.88,0.63,2025-03-31T13:52:49.000Z
ChunkSize_550_Overlap_50_RetrieveResults_9,94.44 ± 22.41,0.8 ± 0.55,0.8 ± 0.55,550,50,9,94.44,22.41,0.8,0.55,0.8,0.55,2025-03-31T13:53:05.000Z
ChunkSize_550_Overlap_50_RetrieveResults_10,97.07 ± 16.17,0.73 ± 0.49,0.73 ± 0.49,550,50,10,97.07,16.17,0.73,0.49,0.73,0.49,2025-03-31T13:53:26.000Z
ChunkSize_600_Overlap_50_RetrieveResults_1,54.24 ± 48.66,3.5 ± 3.9,3.48 ± 3.88,600,50,1,54.24,48.66,3.5,3.9,3.48,3.88,2025-03-31T13:53:47.000Z
ChunkSize_600_Overlap_50_RetrieveResults_2,63.79 ± 46.56,2.12 ± 2.01,2.11 ± 2.0,600,50,2,63.79,46.56,2.12,2.01,2.11,2.0,2025-03-31T13:54:08.000Z
ChunkSize_600_Overlap_50_RetrieveResults_3,68.67 ± 45.14,1.53 ± 1.44,1.52 ± 1.44,600,50,3,68.67,45.14,1.53,1.44,1.52,1.44,2025-03-31T13:54:29.000Z
ChunkSize_600_Overlap_50_RetrieveResults_4,72.45 ± 43.54,1.18 ± 1.05,1.18 ± 1.05,600,50,4,72.45,43.54,1.18,1.05,1.18,1.05,2025-03-31T13:54:50.000Z
ChunkSize_600_Overlap_50_RetrieveResults_5,77.71 ± 40.4,0.99 ± 0.82,0.99 ± 0.82,600,50,5,77.71,40.4,0.99,0.82,0.99,0.82,2025-03-31T13:55:11.000Z
ChunkSize_600_Overlap_50_RetrieveResults_6,79.03 ± 39.46,0.83 ± 0.68,0.83 ± 0.68,600,50,6,79.03,39.46,0.83,0.68,0.83,0.68,2025-03-31T13:55:33.000Z
ChunkSize_600_Overlap_50_RetrieveResults_7,83.01 ± 36.2,0.78 ± 0.63,0.78 ± 0.63,600,50,7,83.01,36.2,0.78,0.63,0.78,0.63,2025-03-31T13:55:54.000Z
ChunkSize_600_Overlap_50_RetrieveResults_8,84.93 ± 34.82,0.7 ± 0.55,0.7 ± 0.55,600,50,8,84.93,34.82,0.7,0.55,0.7,0.55,2025-03-31T13:56:14.000Z
ChunkSize_600_Overlap_50_RetrieveResults_9,87.85 ± 32.31,0.64 ± 0.5,0.64 ± 0.5,600,50,9,87.85,32.31,0.64,0.5,0.64,0.5,2025-03-31T13:56:35.000Z
ChunkSize_600_Overlap_50_RetrieveResults_10,89.17 ± 30.7,0.6 ± 0.46,0.6 ± 0.46,600,50,10,89.17,30.7,0.6,0.46,0.6,0.46,2025-03-31T13:56:57.000Z
ChunkSize_50_Overlap_75_RetrieveResults_1,,,,50,75,1,,,,,,,2025-03-31T13:57:18.000Z
ChunkSize_50_Overlap_75_RetrieveResults_2,,,,50,75,2,,,,,,,2025-03-31T13:57:33.000Z
ChunkSize_50_Overlap_75_RetrieveResults_3,,,,50,75,3,,,,,,,2025-03-31T13:57:49.000Z
ChunkSize_50_Overlap_75_RetrieveResults_4,,,,50,75,4,,,,,,,2025-03-31T13:58:05.000Z
ChunkSize_50_Overlap_75_RetrieveResults_5,,,,50,75,5,,,,,,,2025-03-31T13:58:26.000Z
ChunkSize_50_Overlap_75_RetrieveResults_6,,,,50,75,6,,,,,,,2025-03-31T13:58:42.000Z
ChunkSize_50_Overlap_75_RetrieveResults_7,,,,50,75,7,,,,,,,2025-03-31T13:58:58.000Z
ChunkSize_50_Overlap_75_RetrieveResults_8,,,,50,75,8,,,,,,,2025-03-31T13:59:14.000Z
ChunkSize_50_Overlap_75_RetrieveResults_9,,,,50,75,9,,,,,,,2025-03-31T13:59:30.000Z
ChunkSize_50_Overlap_75_RetrieveResults_10,,,,50,75,10,,,,,,,2025-03-31T13:59:50.000Z
ChunkSize_100_Overlap_75_RetrieveResults_1,,,,100,75,1,,,,,,,2025-03-31T14:00:06.000Z
ChunkSize_100_Overlap_75_RetrieveResults_2,,,,100,75,2,,,,,,,2025-03-31T14:00:22.000Z
ChunkSize_100_Overlap_75_RetrieveResults_3,,,,100,75,3,,,,,,,2025-03-31T14:00:38.000Z
ChunkSize_100_Overlap_75_RetrieveResults_4,,,,100,75,4,,,,,,,2025-03-31T14:00:54.000Z
ChunkSize_100_Overlap_75_RetrieveResults_5,,,,100,75,5,,,,,,,2025-03-31T14:01:10.000Z
ChunkSize_100_Overlap_75_RetrieveResults_6,,,,100,75,6,,,,,,,2025-03-31T14:01:31.000Z
ChunkSize_100_Overlap_75_RetrieveResults_7,,,,100,75,7,,,,,,,2025-03-31T14:01:46.000Z
ChunkSize_100_Overlap_75_RetrieveResults_8,,,,100,75,8,,,,,,,2025-03-31T14:02:02.000Z
ChunkSize_100_Overlap_75_RetrieveResults_9,,,,100,75,9,,,,,,,2025-03-31T14:02:18.000Z
ChunkSize_100_Overlap_75_RetrieveResults_10,,,,100,75,10,,,,,,,2025-03-31T14:02:34.000Z
ChunkSize_150_Overlap_75_RetrieveResults_1,54.96 ± 41.84,14.41 ± 13.43,13.41 ± 12.34,150,75,1,54.96,41.84,14.41,13.43,13.41,12.34,2025-03-31T14:02:50.000Z
ChunkSize_150_Overlap_75_RetrieveResults_2,72.8 ± 39.83,9.81 ± 8.81,9.69 ± 8.7,150,75,2,72.8,39.83,9.81,8.81,9.69,8.7,2025-03-31T14:03:11.000Z
ChunkSize_150_Overlap_75_RetrieveResults_3,78.95 ± 36.0,7.15 ± 5.96,7.11 ± 5.94,150,75,3,78.95,36.0,7.15,5.96,7.11,5.94,2025-03-31T14:03:37.000Z
ChunkSize_150_Overlap_75_RetrieveResults_4,84.77 ± 29.46,5.76 ± 4.3,5.72 ± 4.3,150,75,4,84.77,29.46,5.76,4.3,5.72,4.3,2025-03-31T14:03:58.000Z
ChunkSize_150_Overlap_75_RetrieveResults_5,91.52 ± 20.64,4.88 ± 3.38,4.86 ± 3.38,150,75,5,91.52,20.64,4.88,3.38,4.86,3.38,2025-03-31T14:04:20.000Z
ChunkSize_150_Overlap_75_RetrieveResults_6,95.98 ± 12.78,4.32 ± 2.83,4.31 ± 2.82,150,75,6,95.98,12.78,4.32,2.83,4.31,2.82,2025-03-31T14:04:40.000Z
ChunkSize_150_Overlap_75_RetrieveResults_7,97.22 ± 10.76,3.78 ± 2.47,3.77 ± 2.47,150,75,7,97.22,10.76,3.78,2.47,3.77,2.47,2025-03-31T14:05:02.000Z
ChunkSize_150_Overlap_75_RetrieveResults_8,97.75 ± 9.87,3.31 ± 2.15,3.31 ± 2.15,150,75,8,97.75,9.87,3.31,2.15,3.31,2.15,2025-03-31T14:05:38.000Z
ChunkSize_150_Overlap_75_RetrieveResults_9,98.44 ± 7.98,2.95 ± 1.91,2.95 ± 1.91,150,75,9,98.44,7.98,2.95,1.91,2.95,1.91,2025-03-31T14:05:59.000Z
ChunkSize_150_Overlap_75_RetrieveResults_10,98.44 ± 7.98,2.66 ± 1.71,2.66 ± 1.71,150,75,10,98.44,7.98,2.66,1.71,2.66,1.71,2025-03-31T14:06:20.000Z
ChunkSize_200_Overlap_75_RetrieveResults_1,72.47 ± 41.83,14.66 ± 12.76,14.34 ± 12.21,200,75,1,72.47,41.83,14.66,12.76,14.34,12.21,2025-03-31T14:06:41.000Z
ChunkSize_200_Overlap_75_RetrieveResults_2,83.59 ± 35.83,8.75 ± 6.79,8.72 ± 6.74,200,75,2,83.59,35.83,8.75,6.79,8.72,6.74,2025-03-31T14:07:02.000Z
ChunkSize_200_Overlap_75_RetrieveResults_3,90.96 ± 28.16,6.18 ± 4.52,6.18 ± 4.52,200,75,3,90.96,28.16,6.18,4.52,6.18,4.52,2025-03-31T14:07:23.000Z
ChunkSize_200_Overlap_75_RetrieveResults_4,94.07 ± 22.32,4.79 ± 3.29,4.78 ± 3.29,200,75,4,94.07,22.32,4.79,3.29,4.78,3.29,2025-03-31T14:07:44.000Z
ChunkSize_200_Overlap_75_RetrieveResults_5,95.78 ± 18.59,3.91 ± 2.63,3.91 ± 2.62,200,75,5,95.78,18.59,3.91,2.63,3.91,2.62,2025-03-31T14:08:05.000Z
ChunkSize_200_Overlap_75_RetrieveResults_6,97.54 ± 14.52,3.33 ± 2.21,3.33 ± 2.21,200,75,6,97.54,14.52,3.33,2.21,3.33,2.21,2025-03-31T14:08:26.000Z
ChunkSize_200_Overlap_75_RetrieveResults_7,97.63 ± 14.51,2.86 ± 1.89,2.86 ± 1.89,200,75,7,97.63,14.51,2.86,1.89,2.86,1.89,2025-03-31T14:08:47.000Z
ChunkSize_200_Overlap_75_RetrieveResults_8,100.0 ± 0.0,2.56 ± 1.62,2.56 ± 1.62,200,75,8,100.0,0.0,2.56,1.62,2.56,1.62,2025-03-31T14:09:08.000Z
ChunkSize_200_Overlap_75_RetrieveResults_9,100.0 ± 0.0,2.28 ± 1.44,2.28 ± 1.44,200,75,9,100.0,0.0,2.28,1.44,2.28,1.44,2025-03-31T14:09:40.000Z
ChunkSize_200_Overlap_75_RetrieveResults_10,100.0 ± 0.0,2.05 ± 1.3,2.05 ± 1.3,200,75,10,100.0,0.0,2.05,1.3,2.05,1.3,2025-03-31T14:10:28.000Z
ChunkSize_250_Overlap_75_RetrieveResults_1,65.65 ± 45.14,11.12 ± 11.29,10.98 ± 11.12,250,75,1,65.65,45.14,11.12,11.29,10.98,11.12,2025-03-31T14:11:05.000Z
ChunkSize_250_Overlap_75_RetrieveResults_2,82.57 ± 36.22,6.71 ± 5.4,6.68 ± 5.4,250,75,2,82.57,36.22,6.71,5.4,6.68,5.4,2025-03-31T14:11:26.000Z
ChunkSize_250_Overlap_75_RetrieveResults_3,85.64 ± 33.16,4.63 ± 3.58,4.62 ± 3.58,250,75,3,85.64,33.16,4.63,3.58,4.62,3.58,2025-03-31T14:11:47.000Z
ChunkSize_250_Overlap_75_RetrieveResults_4,94.23 ± 22.54,3.89 ± 2.7,3.89 ± 2.7,250,75,4,94.23,22.54,3.89,2.7,3.89,2.7,2025-03-31T14:12:08.000Z
ChunkSize_250_Overlap_75_RetrieveResults_5,95.55 ± 19.75,3.13 ± 2.15,3.13 ± 2.15,250,75,5,95.55,19.75,3.13,2.15,3.13,2.15,2025-03-31T14:12:29.000Z
ChunkSize_250_Overlap_75_RetrieveResults_6,96.86 ± 16.38,2.64 ± 1.77,2.64 ± 1.77,250,75,6,96.86,16.38,2.64,1.77,2.64,1.77,2025-03-31T14:12:50.000Z
ChunkSize_250_Overlap_75_RetrieveResults_7,98.18 ± 11.97,2.29 ± 1.5,2.29 ± 1.5,250,75,7,98.18,11.97,2.29,1.5,2.29,1.5,2025-03-31T14:13:11.000Z
ChunkSize_250_Overlap_75_RetrieveResults_8,98.18 ± 11.97,2.0 ± 1.32,2.0 ± 1.32,250,75,8,98.18,11.97,2.0,1.32,2.0,1.32,2025-03-31T14:13:34.000Z
ChunkSize_250_Overlap_75_RetrieveResults_9,98.18 ± 11.97,1.78 ± 1.17,1.78 ± 1.17,250,75,9,98.18,11.97,1.78,1.17,1.78,1.17,2025-03-31T14:13:55.000Z
ChunkSize_250_Overlap_75_RetrieveResults_10,99.49 ± 3.85,1.63 ± 1.04,1.63 ± 1.04,250,75,10,99.49,3.85,1.63,1.04,1.63,1.04,2025-03-31T14:14:16.000Z
ChunkSize_300_Overlap_75_RetrieveResults_1,69.9 ± 44.55,9.4 ± 8.93,9.3 ± 8.78,300,75,1,69.9,44.55,9.4,8.93,9.3,8.78,2025-03-31T14:14:37.000Z
ChunkSize_300_Overlap_75_RetrieveResults_2,88.79 ± 30.07,6.02 ± 4.59,6.0 ± 4.58,300,75,2,88.79,30.07,6.02,4.59,6.0,4.58,2025-03-31T14:14:58.000Z
ChunkSize_300_Overlap_75_RetrieveResults_3,91.6 ± 27.0,4.16 ± 3.11,4.16 ± 3.11,300,75,3,91.6,27.0,4.16,3.11,4.16,3.11,2025-03-31T14:15:19.000Z
ChunkSize_300_Overlap_75_RetrieveResults_4,92.92 ± 24.86,3.17 ± 2.29,3.17 ± 2.29,300,75,4,92.92,24.86,3.17,2.29,3.17,2.29,2025-03-31T14:15:40.000Z
ChunkSize_300_Overlap_75_RetrieveResults_5,95.55 ± 19.62,2.62 ± 1.81,2.62 ± 1.81,300,75,5,95.55,19.62,2.62,1.81,2.62,1.81,2025-03-31T14:16:01.000Z
ChunkSize_300_Overlap_75_RetrieveResults_6,95.64 ± 19.63,2.19 ± 1.5,2.19 ± 1.5,300,75,6,95.64,19.63,2.19,1.5,2.19,1.5,2025-03-31T14:16:22.000Z
ChunkSize_300_Overlap_75_RetrieveResults_7,95.99 ± 19.47,1.88 ± 1.28,1.88 ± 1.28,300,75,7,95.99,19.47,1.88,1.28,1.88,1.28,2025-03-31T14:16:43.000Z
ChunkSize_300_Overlap_75_RetrieveResults_8,97.3 ± 16.01,1.66 ± 1.11,1.66 ± 1.1,300,75,8,97.3,16.01,1.66,1.11,1.66,1.1,2025-03-31T14:17:15.000Z
ChunkSize_300_Overlap_75_RetrieveResults_9,98.62 ± 11.4,1.49 ± 0.97,1.49 ± 0.97,300,75,9,98.62,11.4,1.49,0.97,1.49,0.97,2025-03-31T14:18:02.000Z
ChunkSize_300_Overlap_75_RetrieveResults_10,98.62 ± 11.4,1.34 ± 0.87,1.34 ± 0.87,300,75,10,98.62,11.4,1.34,0.87,1.34,0.87,2025-03-31T14:18:23.000Z
ChunkSize_350_Overlap_75_RetrieveResults_1,71.84 ± 41.89,7.99 ± 7.34,7.91 ± 7.3,350,75,1,71.84,41.89,7.99,7.34,7.91,7.3,2025-03-31T14:18:45.000Z
ChunkSize_350_Overlap_75_RetrieveResults_2,85.99 ± 31.13,4.88 ± 3.73,4.86 ± 3.72,350,75,2,85.99,31.13,4.88,3.73,4.86,3.72,2025-03-31T14:19:06.000Z
ChunkSize_350_Overlap_75_RetrieveResults_3,90.32 ± 25.78,3.56 ± 2.55,3.56 ± 2.55,350,75,3,90.32,25.78,3.56,2.55,3.56,2.55,2025-03-31T14:19:27.000Z
ChunkSize_350_Overlap_75_RetrieveResults_4,93.32 ± 20.99,2.75 ± 1.88,2.75 ± 1.88,350,75,4,93.32,20.99,2.75,1.88,2.75,1.88,2025-03-31T14:19:48.000Z
ChunkSize_350_Overlap_75_RetrieveResults_5,93.32 ± 20.99,2.2 ± 1.5,2.2 ± 1.5,350,75,5,93.32,20.99,2.2,1.5,2.2,1.5,2025-03-31T14:20:09.000Z
ChunkSize_350_Overlap_75_RetrieveResults_6,94.07 ± 20.19,1.84 ± 1.24,1.84 ± 1.24,350,75,6,94.07,20.19,1.84,1.24,1.84,1.24,2025-03-31T14:20:30.000Z
ChunkSize_350_Overlap_75_RetrieveResults_7,94.93 ± 18.97,1.59 ± 1.05,1.59 ± 1.05,350,75,7,94.93,18.97,1.59,1.05,1.59,1.05,2025-03-31T14:20:51.000Z
ChunkSize_350_Overlap_75_RetrieveResults_8,94.93 ± 18.97,1.39 ± 0.92,1.39 ± 0.92,350,75,8,94.93,18.97,1.39,0.92,1.39,0.92,2025-03-31T14:21:12.000Z
ChunkSize_350_Overlap_75_RetrieveResults_9,96.75 ± 14.18,1.27 ± 0.82,1.27 ± 0.82,350,75,9,96.75,14.18,1.27,0.82,1.27,0.82,2025-03-31T14:21:33.000Z
ChunkSize_350_Overlap_75_RetrieveResults_10,96.75 ± 14.18,1.14 ± 0.74,1.14 ± 0.73,350,75,10,96.75,14.18,1.14,0.74,1.14,0.73,2025-03-31T14:21:54.000Z
ChunkSize_400_Overlap_75_RetrieveResults_1,74.4 ± 41.3,7.35 ± 6.94,7.3 ± 6.89,400,75,1,74.4,41.3,7.35,6.94,7.3,6.89,2025-03-31T14:22:15.000Z
ChunkSize_400_Overlap_75_RetrieveResults_2,84.93 ± 33.44,4.33 ± 3.33,4.31 ± 3.31,400,75,2,84.93,33.44,4.33,3.33,4.31,3.31,2025-03-31T14:22:36.000Z
ChunkSize_400_Overlap_75_RetrieveResults_3,88.41 ± 29.88,3.04 ± 2.25,3.03 ± 2.25,400,75,3,88.41,29.88,3.04,2.25,3.03,2.25,2025-03-31T14:22:57.000Z
ChunkSize_400_Overlap_75_RetrieveResults_4,90.74 ± 27.3,2.35 ± 1.67,2.34 ± 1.66,400,75,4,90.74,27.3,2.35,1.67,2.34,1.66,2025-03-31T14:23:18.000Z
ChunkSize_400_Overlap_75_RetrieveResults_5,93.86 ± 22.69,1.94 ± 1.33,1.94 ± 1.33,400,75,5,93.86,22.69,1.94,1.33,1.94,1.33,2025-03-31T14:23:39.000Z
ChunkSize_400_Overlap_75_RetrieveResults_6,94.37 ± 22.38,1.63 ± 1.11,1.63 ± 1.11,400,75,6,94.37,22.38,1.63,1.11,1.63,1.11,2025-03-31T14:24:00.000Z
ChunkSize_400_Overlap_75_RetrieveResults_7,95.69 ± 19.55,1.41 ± 0.94,1.41 ± 0.94,400,75,7,95.69,19.55,1.41,0.94,1.41,0.94,2025-03-31T14:24:21.000Z
ChunkSize_400_Overlap_75_RetrieveResults_8,95.95 ± 19.47,1.24 ± 0.83,1.24 ± 0.82,400,75,8,95.95,19.47,1.24,0.83,1.24,0.82,2025-03-31T14:24:42.000Z
ChunkSize_400_Overlap_75_RetrieveResults_9,95.95 ± 19.47,1.1 ± 0.74,1.1 ± 0.74,400,75,9,95.95,19.47,1.1,0.74,1.1,0.74,2025-03-31T14:25:08.000Z
ChunkSize_400_Overlap_75_RetrieveResults_10,98.58 ± 11.42,1.02 ± 0.64,1.02 ± 0.64,400,75,10,98.58,11.42,1.02,0.64,1.02,0.64,2025-03-31T14:25:51.000Z
ChunkSize_450_Overlap_75_RetrieveResults_1,54.47 ± 48.47,4.96 ± 6.03,4.91 ± 5.91,450,75,1,54.47,48.47,4.96,6.03,4.91,5.91,2025-03-31T14:26:17.000Z
ChunkSize_450_Overlap_75_RetrieveResults_2,67.31 ± 45.35,3.14 ± 3.11,3.13 ± 3.09,450,75,2,67.31,45.35,3.14,3.11,3.13,3.09,2025-03-31T14:26:38.000Z
ChunkSize_450_Overlap_75_RetrieveResults_3,77.0 ± 40.32,2.34 ± 2.0,2.34 ± 1.99,450,75,3,77.0,40.32,2.34,2.0,2.34,1.99,2025-03-31T14:26:59.000Z
ChunkSize_450_Overlap_75_RetrieveResults_4,82.26 ± 36.24,1.9 ± 1.48,1.9 ± 1.47,450,75,4,82.26,36.24,1.9,1.48,1.9,1.47,2025-03-31T14:27:20.000Z
ChunkSize_450_Overlap_75_RetrieveResults_5,87.53 ± 30.76,1.57 ± 1.13,1.57 ± 1.13,450,75,5,87.53,30.76,1.57,1.13,1.57,1.13,2025-03-31T14:27:41.000Z
ChunkSize_450_Overlap_75_RetrieveResults_6,90.16 ± 27.23,1.35 ± 0.93,1.35 ± 0.93,450,75,6,90.16,27.23,1.35,0.93,1.35,0.93,2025-03-31T14:28:02.000Z
ChunkSize_450_Overlap_75_RetrieveResults_7,90.61 ± 27.11,1.17 ± 0.82,1.17 ± 0.82,450,75,7,90.61,27.11,1.17,0.82,1.17,0.82,2025-03-31T14:28:23.000Z
ChunkSize_450_Overlap_75_RetrieveResults_8,90.61 ± 27.11,1.03 ± 0.72,1.03 ± 0.72,450,75,8,90.61,27.11,1.03,0.72,1.03,0.72,2025-03-31T14:28:44.000Z
ChunkSize_450_Overlap_75_RetrieveResults_9,94.55 ± 19.98,0.95 ± 0.62,0.94 ± 0.62,450,75,9,94.55,19.98,0.95,0.62,0.94,0.62,2025-03-31T14:29:27.000Z
